1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,
1.73,2.50,1.34,0.94,1.08,1.49,1.40,1.49,1.48,1.54,1.51,1.53,1.58,1.55,1.58,1.59,
2.52,3.63,1.33,0.99,1.16,1.52,1.52,1.52,1.68,1.59,1.53,1.54,1.58,1.57,1.57,1.66,
2.38,2.90,1.44,1.14,1.33,1.52,1.50,1.53,1.64,1.63,1.55,1.52,1.62,1.75,1.69,1.66,
2.69,3.36,1.39,1.10,1.19,1.59,1.48,1.53,1.61,1.55,1.67,1.63,1.60,1.63,1.63,1.72,
1.91,2.80,1.44,1.14,1.25,1.58,1.47,1.60,1.64,1.58,1.58,1.60,1.64,1.67,1.66,1.76,
