1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,
0.01,0.02,0.02,0.02,0.02,0.03,0.03,0.02,0.02,0.03,0.02,0.02,0.04,0.03,0.03,0.05,
0.01,0.03,0.03,0.04,0.03,0.03,0.03,0.03,0.06,0.04,0.03,0.03,0.05,0.04,0.05,0.06,
0.02,0.03,0.03,0.03,0.03,0.03,0.04,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,
0.01,0.02,0.02,0.03,0.03,0.03,0.03,0.07,0.05,0.03,0.03,0.05,0.03,0.06,0.05,0.03,
0.01,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.06,0.04,0.03,
