1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,
0.01,0.03,0.04,0.10,0.11,0.15,0.20,0.30,0.20,0.25,0.15,0.18,0.12,0.12,0.19,0.15,
0.01,0.03,0.04,0.11,0.15,0.17,0.20,0.20,0.17,0.19,0.09,0.13,0.09,0.13,0.11,0.16,
0.01,0.03,0.04,0.11,0.13,0.18,0.26,0.29,0.18,0.43,0.12,0.14,0.14,0.14,0.18,0.23,
0.01,0.03,0.04,0.11,0.13,0.18,0.22,0.14,0.16,0.13,0.15,0.07,0.16,0.13,0.25,0.17,
0.01,0.03,0.04,0.10,0.13,0.18,0.23,0.16,0.26,0.30,0.09,0.16,0.17,0.11,0.13,0.10,
